Vers 1,Vers 2,Vers 3,Vers,Kaxxa
85,84,89,84,89
68,96,86,68,96
98,97,94,94,98
75,89,83,75,89
94,77,72,72,94
87,84,70,70,87
78,75,64,64,78
88,74,83,74,88
79,89,90,79,90
63,72,86,63,86
96,77,86,77,96
59,89,95,59,95
93,76,99,76,99
82,98,85,82,98
64,98,70,64,98
91,87,86,86,91
84,99,96,84,99
92,46,93,46,93
89,98,84,84,98
77,92,88,77,92
93,54,95,54,95
93,64,82,64,93
96,84,60,60,96
82,88,85,82,88
69,95,91,69,95
74,60,98,60,98
59,98,79,59,98
78,95,98,78,98
89,98,52,52,98
83,73,99,73,99
76,67,83,67,83
63,59,72,59,72
97,98,89,89,98
88,54,90,54,90
68,72,99,68,99
99,97,87,87,99
95,83,63,63,95
94,91,83,83,94
41,78,65,41,78
93,97,61,61,97
91,88,92,88,92
84,88,99,84,99
69,78,93,69,93
69,68,73,68,73
86,99,98,86,99
99,93,97,93,99
91,94,96,91,96
92,88,96,88,96
97,72,98,72,98
98,97,87,87,98
80,89,92,80,92
96,83,89,83,96
79,93,94,79,94
74,90,89,74,90
88,97,65,65,97
76,94,93,76,94
89,95,96,89,96
89,59,96,59,96
77,78,90,77,90
52,59,82,52,82
68,56,94,56,94
88,99,80,80,99
54,81,68,54,81
88,87,92,87,92
75,80,91,75,91
85,89,81,81,89
68,76,94,68,94
95,98,78,78,98
93,73,95,73,95
93,96,71,71,96
